rating,title
3,"Def not best, but not worst"
1,Text Messaging Doesn't Work
5,Love This Phone
3,"Love the Phone, BUT...!"
4,"Great phone service and options, lousy case!"
4,Worked great for me
5,Wanna cool Nokia? You have it here!
4,Problem with 3588i universal headset
5,cool phone!!!!!!!!
3,Pissed off-a little bit
4,"works great, but don't dropt it"
1,"Slow, annoying, fragile, heavy, and bulky..."
2,Worth paying more for something else.
4,Great free phone for Sprint customers.
1,Stupid phone
4,Exellent Service
5,I love it
1,Phones locked
5,Excellent product
1,WARNING
5,NEXTEL BOOST PHONE
4,"Nice, but"
1,It seems it doesn't work with the existing AT&T SIM card.
1,Supply are needed
5,Five Stars
3,does the job
4,Awesome with a But!!
1,One Star
5,Is cheap but ok quality
3,Three Stars
1,This phone gave me a concussion. and may come with a faulty battery.
5,Tough phone
5,4-1/2 years!
5,simply great!
5,More than great
4,motorola c168i
4,Good little phone
5,Great phone
5,Perfect Bare-Bones and Practically Indestructible Phone!
4,Motorola Fan
4,Solid phone
3,Great disposible phone?
4,two for one!
4,tough little phone
1,Boost Mobile no Longer allows IDEN service
5,Five Stars
5,bought this for my mother for mothers day of 2014
1,Won't Work on Networks!
5,Good boost phone
4,SIM CARD
1,"Not a ""Boost"" phone. Description is lie."
5,good phone
5,Great Phone
1,Cell
4,For a basic phone quite good
1,Terrible Customer Service
5,Excellent Choice Cell Phone
5,Great phone
5,GREAT PHONE
1,"ok as phone, that's it"
1,Not a good product
5,this phone is great people are crazy to give a bad review!
1,This phone was designed by the devil.
5,RUGGED
4,Good phone...good price.
5,Motorola V365
3,Three Stars
5,Five Stars
3,IT IS OKAY
5,it is her third one like it. This one is perfect for her
5,old fashioned....
2,Old phone may not work with a new SIM card
3,Misrepresented condition
1,a bad choice
5,Five Stars
4,Great simple phone
3,Ok phone to tide me over
1,lousy phone
4,Good basic phone for the money
1,Worst Experience with Amazon
3,A simple phone for texting and making calls
4,Solid Phone
3,I like it but a few shortcomings are significant enough that I wouldn't buy it again if I lost it.
2,Not an upgrade over original Alias
4,Good Phone that could use a few tweaks
3,resets when receiving calls
4,Good phone for daily use -
3,"Nice phone, but features don't deliver"
2,Anyone else having this problem?
5,LOVE my Samsung Alias 2!
2,Locks up when using MP3 Player
5,excellent
1,Worst cell phone I have ever owned
4,Great little tool
3,Creative Design but Poor Phone
4,never had a problem
1,Terrible
5,Wonderful innovative keypad
5,Best fone ever!!!
5,Great Phone!
3,"Great E Ink technology, but overall not quite ready for prime time yet..."
4,Fun phone
2,"Good phone, horrible features"
3,"OK Phone, Bluetooth stereo audio is awful, voice recognition is unusable"
4,Surprisingly Durable
1,Voice Activation Dreadful
5,"Awesome ""mini"" computer!"
1,NEVER BUY THIS ONE
1,Because it was phased out by AT&T
2,Two Stars
4,Good little phone
5,thanks
1,It's doing good but I was expecting a charger to come with ...
5,Best phone ever. Love samsung .
1,Would Not Hold Charge . . . brand new phone
5,Five Stars
3,"Phone okay, but..."
4,Terrific Basic Phone
5,Great Simple Phone
3,Best for making and recieving calls but not for texting
2,ok but most stores offer twice the airtime with this phone
1,"""I sell things"" sells junk!"
3,This phone cannot be used with a wireless headset
5,none
5,I have it on a plan - not prepaid
2,The StopPhone
3,Remove previous negative review that was not Verizon's fault not the seller
5,"Sound Quality: Impressive, Battery Life: Out Of This World."
1,Dont waste your money on this junk!
1,Wouldn't charge after only a month of use.
4,Great!
5,"The Phone is "" Simply Awesome "". Has "" All Great Cell Phone Features ..."
3,"phone was great, but the ""new"" battery wouldn't hold a charge ..."
5,Verizon will not use those phones any more.
2,Very tiny phone
1,Junk
3,Not worth it
3,The first phone I got from this company was not ...
5,Five Stars
1,the battery life is bad
1,Got it in the mail way way late and then ...
5,:/
1,Dead on Arrival!!
1,One Star
5,i love saving money buying used phones!
5,Great option vs data plan phones
3,didn't work
4,good phone!
3,Worked pretty good. A little laggy though and sometimes it ...
3,Old School
1,but was assured it worked great. Extremely delayed navigating from contacts to messages
5,Love this phone
5,Five Stars
1,Don't buy -- 5G Upgrades
1,Cannot be activated.
2,Not happy
4,Pleasantly surprised
1,COULDN'T ACTIVATE PHONE
1,Wasted $30.
1,old programming
1,Network
1,WORSE THING I' ve ever bought.
4,Good for the money
1,Defective Phone
1,The charger collapsed on receipt. Don't know if the ...
5,Great flip phone
2,Battery does not work
4,The phone is the best...
5,Stil works like new
1,terrible!!!!
4,Motorola V3 Razr phone
5,"No haggle, easy install!!!"
5,Better than new
3,Three Stars
1,One Star
5,Five Stars
5,love em.
5,Great Look!
5,Five Stars
1,I hate it
2,Not Happy
5,... supplier exceeded my expectations as the quality was even better than advertised and the phone go here quickly
1,Bad phone
5,Saved Money
1,One Star
3,Used is used
1,Buyer beware
1,"phone was in excellent condition, however the numbers 2 4 6 and ..."
3,Battery does't hold the charge.
5,no problems
4,Four Stars
2,Broken
1,Not compatible with Verizon
1,Horrible
2,Same problems as I had
1,One Star
1,Broke
1,Waste of money
4,Battery was the issue
1,Used Cell phone
5,Five Stars
2,not worth the money
1,not functional
5,nice
5,Five Stars
5,Exactly what I wanted
1,"An obvious 'RIP-OFF"""
1,Na
5,phone great condition
1,One Star
5,Five Stars
3,Motorola V3m Razr review
5,This was exactly what I wanted. It doesn't break.
1,Nice phone but the battery is bad
5,Five Stars
1,One Star
4,Four Stars
4,"Phone is great, battery requires recharging several time a day."
1,Bad phone baby company
3,Three Stars
1,junk
5,perfect phone for me
1,Not what I was looking for
5,Five Stars
5,Tried & True
4,Four Stars
1,I feel duped
1,Bad
2,Iffy.
1,One Star
5,"I was very glad to have my ""old"" phone back"
1,DO NOT ORDER CELL PHONES FROM THIS SELLER!
3,Prices !
1,"The phone could not be activated because, after a ..."
1,WHAT A LET DOWN
1,This item is junk!
5,Five Stars
5,Rate the PRODUCT not the SELLER on reviews
5,Old Faithful
2,"I have three of these phones , plus I gave one to my son."
5,Best seller?
2,Flimsy
1,Buyer Beware!!
1,Phone
1,One Star
3,Seriously...???
1,What good is a phone without a battery
1,It did NOT work !!
1,One Star
5,Another satisfied customer
5,I love the Light Weight Slim Design of the Verizon Wireless Razr
5,Remember the days of good technology
5,Phone looked brand new. No problem at Verizon with ...
1,Don't buy
5,"Excellent Phone, very clean, very good condition"
5,It works
5,Easy to use.
5,Motorola Used Cell Phone
1,Not usable
5,Five Stars
3,Phone was fine...
2,Charger broke and battery died within two weeks. Stability issues within months
1,Junk
2,Get It Now or Get It Not.. it's a gamble
5,Perfect
5,Christmas gift for my mother in law haven't put service on it yet
5,Excellent Buy
1,Not a good phone
3,Three Stars
5,The best basic phone ever!
1,Junk
5,Good price on a solid phone.
4,RAZR's are the best
1,"Ended up in the trash --- had charging problems, ..."
5,dads don't like change
1,One Star
5,Lovedthis phone
1,Very disappointed to find out from Verizon that this is not ...
5,Loved it and had it for a long time until ...
5,... Amazon and it was brand new and it works great now.
1,Poor quality
1,Its a pre paid phone so was unable to activate ...
5,Five Stars
5,Made it work
5,Five Stars
2,"Well it's the device I wanted, but not fully functional."
5,I love it
3,Great while it lasted
5,Verizon Wireless Motorola RAZR
5,seller was okay. the RAZR phone Itself is great
5,Five Stars
3,Three Stars
5,Five Stars
5,Five Stars
5,Five Stars
5,Razor
3,NOT AGAIN NEVER EVER
5,Five Stars
4,razor
4,Past is perfect
3,"Too old but, Nice condtion"
2,Two Stars
3,Great Phone
4,Four Stars
2,Disappointing purchase!
5,Five Stars
5,Five Stars
5,good deal
5,WORKS GREAT
4,... all that- but its a flip phone and i like it. Battery isnt the best
3,Three Stars
5,Works fantastic
5,pink verizon razr cell phone
5,Keeping it on hand
4,Phone
4,Nice
3,it worked
4,Four Stars
4,Four Stars
4,Would have been been 5
5,Great Flip Phone
1,frustrating
1,Battery
3,cellphone
4,it is getting harder to fined a phone that is just a phone
5,Excellent service responses
1,RAZR V3m
1,Do NOT buy from this seller!!
2,Two Stars
1,One Star
1,JUNK
2,VERIZON BUYERS BEWARE OF OLDER PHONES
5,Most durable long last phone ever
5,Damn good little flip phone
5,"Could not tell it from a new one-and I have 'destroyed"" 3 or 4!"
5,Great to Work With!! Awesome Phone!
1,Verizon will not activate this phone.
5,Out of useful life span
5,"GREAT, HEAVY DUTY, DURABLE... even years later!"
2,7/22/16 v860 ! 5 star phone! 1 star used battery!
1,"Had trouble with this model just shutting off, even ..."
5,This one is my favorite. Came amazingly fast
1,never held a good charge.
5,Motorola Barrage
1,DEFECTIVE PHONE
5,Great cheap reliable alternative to an iphone that will actually get a signal where iPhone wont and wont break where iphone will
3,Looked GREAT at first
5,I don't need more in a phone
5,Motorola Barrage V860
5,Durable but featured phone
2,Buyer beware !!!
1,Sadness
1,Motorola V860
5,Good basic phone!
3,"Still best ""rugged"" phone you can get but it would have ..."
2,I would like to have this one replaced
5,BARRAGE V860
4,Happy so far
1,Pos
1,No good can't be usef
5,Great phone
3,Have a great day and I look forward to doing more business ...
4,It's a phone.
1,"bad connection, dropping calls"
5,Glad I found another
1,I would We owned this phone(purchased directly from Verizon) and loved it so ordered another
5,Five Stars
4,"New phone, yeah!"
5,great phone with speedy service
2,don't trust seller
4,what i wanted
1,"the camera does not work,,, the battery ..."
4,GOOD FOR THE PRICE- ARRIVED IN GOOD CONDITION!!!
5,Almost bomb proof
5,Can't find anywhere else.
5,The very best way to go!
2,Didnt last long
4,If carrier will activate phone - must be 4G
1,it was dirty inside screen was scratched very badly the phone had ...
5,Great signal
1,it died on the 4/20/2015 I like the phone but don't like that I payed money ...
1,Don't buy from this seller
3,Great device device functions great
3,"I like the phone, but I have a problem with the battery."
3,"Tiny, bombproof phone."
3,Verizon Barrage wireless phone
5,One of the best used replacement phones I have ever ordered
5,Five Stars
4,Phone was in great shape
2,"Initially very pleased, then problems"
4,PHONE FOR HUSBAND
5,Very sturdy phone
4,Durable
3,Not completely happy....
5,Five Stars
5,Five Stars
5,Works
5,I like it!
5,Five Stars
4,Good for anyone hard whos on a phone
5,Five Stars
5,"Works great, and delivery was very timely"
5,Motorola Barrage V860
5,looked brand new
4,Great Buy
5,"A real mans phone, not a sissy I phone"
5,Great for what I want
5,it worked well for me
5,major problem was in removing the Backup Assistant alert and ...
5,"sturdy, and comfortable to use"
5,terrific phone
4,"HAD ONE BEFORE, THIS IS A RUGGED DEPENDABLE PHONE ..."
5,Five Stars
4,Great phone!
5,Great buy!
5,Pretty good!
3,Eh...
5,Flip phone
5,Phone works good but was locked by previous owner
5,Five Stars
5,Great Phone
5,Super phone! It is very sturdy
5,Just what I need
5,(I have a great computer for that) I love my compact Motorola Barrage ...
5,"great price, shipping was fast"
2,No camera on this phone.
4,Four Stars
5,Five Stars
5,"Simple, good voice quality, holds a charge."
5,Good
1,Was not able to use on my Verizon services. ...
4,mislabeled
5,Just like new!
5,Five Stars
5,I know most buyers don't like to give five stars or a perfect score but ...
5,Hard to find good flip phones
5,Outstanding phone!
5,barrage
4,2nd Best Feature Phone I Ever Used
4,Happy camper
4,The battery is reasonably good considering this is a used phone
5,Motorola V860 Cell Phone
1,Very disappointed.
2,Two Stars
5,My husband is not tec savy this is the 3rd ...
5,Exactly What We Needed!
4,great fliptop.
4,hubby loves
2,James h. Phone was broke
4,"Phone was used, but in great condition."
4,Four Stars
1,One Star
4,Four Stars
4,Good phone
4,Like that phone!
5,Five Stars
5,great
1,filthy phone
5,just what I wanted
2,worked fine but hige broke after several years 8) coudnt get ...
5,Great Phone
2,Two Stars
1,Won't buy another one
4,Great Phone
5,Good product..
5,great phone
5,Motorola for Employee
5,great phone
4,backup
5,Five Stars
5,Just what i wanted
5,Great phone!!
1,One Star
3,Area of coverage is great
5,Five Stars
5,Five Stars
5,Pro Grade Phone & Service
5,works as expected
1,No good. The phone was very used
4,Four Stars
2,Two Stars
5,Texas Native
3,Three Stars
5,Very Prompt service- phone is an identical phone for my ...
5,Motorola Barrage
1,One Star
3,Three Stars
5,Nice Product
5,Great
5,Five Stars
1,One Star
1,One Star
5,great
5,"Everything it is supposed to be, nothing it isnt"
5,GREAT PRODUCT!
4,Four Stars
5,Five Stars
3,Three Stars
5,Five Stars
4,bring it on....
5,good phone
5,Five Stars
5,Five Stars
5,Motorola V860 Barrage Verizon Wireless
5,excellent condition and fairly priced
5,Five Stars
4,"Other than not having an owner's manual with the phone, the phone is what I expected."
5,Five Stars
3,some days it will just go off when it feels like
4,Great reception for basic calling
5,Five Stars
5,Five Stars
5,Five Stars
4,Four Stars
5,Five Stars
5,Five Stars
4,Very sturdy for his work
5,Five Stars
3,Three Stars
1,Junk
5,great
4,Four Stars
5,Five Stars
1,"Wrong phone in the right box, VERY disappointed."
1,Not a very good refurbish by any stretch of ones imagination
3,flip phone
5,Five Stars
1,You can never go home again
2,Two Stars
